Ticker,CompanyName,Sector,Industry,Location,DateAdded
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",8/30/2021
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",4/4/2011
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",9/18/2023
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",3/31/1995
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",3/4/1957
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",11/6/2009
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",12/19/2011
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2/24/1995
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",3/4/1957
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",5/8/2014
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",9/20/2021
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",12/18/2023
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",3/15/2023
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/2017
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/2021
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",4/4/2022
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/1957
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",6/28/2010
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/2020
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",9/21/2020
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",3/4/1957
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",11/10/2006
CDW,CDW,Information Technology,Technology Distributors,"Vernon Hills, Illinois",9/23/2019
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",12/24/2018
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",8/30/2001
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",3/30/2016
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/2021
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/1997
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/1957
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",6/30/1976
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",12/1/1993
C,Citigroup,Financials,Diversified Banks,"New York City, New York",5/31/1988
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",3/31/1969
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",3/4/1957
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",3/4/1957
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",3/4/1957
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/2002
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/1957
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",3/4/1957
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",7/1/2005
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",2/2/2022
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",9/23/2016
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",2/27/1995
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",6/20/2018
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",6/3/2019
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",9/19/2022
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",10/1/1993
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",6/24/2024
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",3/14/2012
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",3/4/1957
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",3/31/1965
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/1957
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",11/18/1998
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",5/31/1995
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",7/31/2008
DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",9/20/2021
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",3/18/2024
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/1957
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",9/23/2024
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",9/11/2013
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",5/12/2020
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",5/18/2016
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",12/3/2012
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",12/19/2011
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",11/30/2016
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/2020
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",10/31/1985
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",6/22/2005
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",3/4/1957
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976
